========  INTERPOL INTERPRETER STARTED   ========
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
24        NUMBER                          2
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
24        BASIC_OPERATOR_MUL              MUL
24        NUMBER                          1
24        NUMBER                          2
24        END_OF_STATEMENT                EOS
25        END_OF_STATEMENT                EOS
26        BASIC_OPERATOR_DIV              DIV
26        NUMBER                          2
26        BASIC_OPERATOR_DIV              DIV
26        NUMBER                          2
26        NUMBER                          1
26        END_OF_STATEMENT                EOS
27        BASIC_OPERATOR_DIV              DIV
27        NUMBER                          2
27        BASIC_OPERATOR_DIV              DIV
27        NUMBER                          2
27        BASIC_OPERATOR_DIV              DIV
27        NUMBER                          2
27        NUMBER                          1
27        END_OF_STATEMENT                EOS
28        BASIC_OPERATOR_DIV              DIV
28        NUMBER                          2
28        BASIC_OPERATOR_DIV              DIV
28        NUMBER                          2
28        BASIC_OPERATOR_DIV              DIV
28        NUMBER                          2
28        BASIC_OPERATOR_DIV              DIV
28        NUMBER                          2
28        NUMBER                          1
28        END_OF_STATEMENT                EOS
29        BASIC_OPERATOR_DIV              DIV
29        BASIC_OPERATOR_DIV              DIV
29        NUMBER                          2
29        NUMBER                          1
29        BASIC_OPERATOR_DIV              DIV
29        NUMBER                          2
29        NUMBER                          1
29        END_OF_STATEMENT                EOS
30        BASIC_OPERATOR_DIV              DIV
30        BASIC_OPERATOR_DIV              DIV
30        NUMBER                          2
30        NUMBER                          1
30        BASIC_OPERATOR_DIV              DIV
30        NUMBER                          2
30        BASIC_OPERATOR_DIV              DIV
30        NUMBER                          2
30        NUMBER                          1
30        END_OF_STATEMENT                EOS
31        BASIC_OPERATOR_DIV              DIV
31        BASIC_OPERATOR_DIV              DIV
31        NUMBER                          2
31        BASIC_OPERATOR_DIV              DIV
31        NUMBER                          2
31        NUMBER                          2
31        BASIC_OPERATOR_DIV              DIV
31        NUMBER                          2
31        BASIC_OPERATOR_DIV              DIV
31        NUMBER                          2
31        NUMBER                          1
31        END_OF_STATEMENT                EOS
32        BASIC_OPERATOR_DIV              DIV
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        NUMBER                          1
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        BASIC_OPERATOR_DIV              DIV
32        NUMBER                          2
32        NUMBER                          1
32        END_OF_STATEMENT                EOS
33        END_OF_STATEMENT                EOS
34        BASIC_OPERATOR_MOD              MOD
34        NUMBER                          19
34        BASIC_OPERATOR_MOD              MOD
34        NUMBER                          19
34        NUMBER                          13
34        END_OF_STATEMENT                EOS
35        BASIC_OPERATOR_MOD              MOD
35        NUMBER                          23
35        BASIC_OPERATOR_MOD              MOD
35        NUMBER                          19
35        BASIC_OPERATOR_MOD              MOD
35        NUMBER                          19
35        NUMBER                          13
35        END_OF_STATEMENT                EOS
36        BASIC_OPERATOR_MOD              MOD
36        NUMBER                          37
36        BASIC_OPERATOR_MOD              MOD
36        NUMBER                          23
36        BASIC_OPERATOR_MOD              MOD
36        NUMBER                          27
36        BASIC_OPERATOR_MOD              MOD
36        NUMBER                          19
36        NUMBER                          13
36        END_OF_STATEMENT                EOS
37        BASIC_OPERATOR_MOD              MOD
37        BASIC_OPERATOR_MOD              MOD
37        NUMBER                          23
37        NUMBER                          13
37        BASIC_OPERATOR_MOD              MOD
37        NUMBER                          19
37        NUMBER                          13
37        END_OF_STATEMENT                EOS
38        BASIC_OPERATOR_MOD              MOD
38        BASIC_OPERATOR_MOD              MOD
38        NUMBER                          32
38        NUMBER                          13
38        BASIC_OPERATOR_MOD              MOD
38        NUMBER                          23
38        BASIC_OPERATOR_MOD              MOD
38        NUMBER                          19
38        NUMBER                          13
38        END_OF_STATEMENT                EOS
39        BASIC_OPERATOR_MOD              MOD
39        BASIC_OPERATOR_MOD              MOD
39        NUMBER                          45
39        BASIC_OPERATOR_MOD              MOD
39        NUMBER                          99
39        NUMBER                          32
39        BASIC_OPERATOR_MOD              MOD
39        NUMBER                          23
39        BASIC_OPERATOR_MOD              MOD
39        NUMBER                          19
39        NUMBER                          13
39        END_OF_STATEMENT                EOS
40        BASIC_OPERATOR_MOD              MOD
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          97
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          45
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          99
40        NUMBER                          13
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          32
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          23
40        BASIC_OPERATOR_MOD              MOD
40        NUMBER                          19
40        NUMBER                          13
40        END_OF_STATEMENT                EOS
41        END_OF_STATEMENT                EOS
42        ADVANCED_OPERATOR_EXP           RAISE
42        NUMBER                          2
42        ADVANCED_OPERATOR_EXP           RAISE
42        NUMBER                          2
42        NUMBER                          1
42        END_OF_STATEMENT                EOS
43        ADVANCED_OPERATOR_EXP           RAISE
43        NUMBER                          2
43        ADVANCED_OPERATOR_EXP           RAISE
43        NUMBER                          2
43        ADVANCED_OPERATOR_EXP           RAISE
43        NUMBER                          2
43        NUMBER                          1
43        END_OF_STATEMENT                EOS
44        ADVANCED_OPERATOR_EXP           RAISE
44        NUMBER                          2
44        ADVANCED_OPERATOR_EXP           RAISE
44        NUMBER                          2
44        ADVANCED_OPERATOR_EXP           RAISE
44        NUMBER                          2
44        ADVANCED_OPERATOR_EXP           RAISE
44        NUMBER                          2
44        NUMBER                          1
44        END_OF_STATEMENT                EOS
45        ADVANCED_OPERATOR_EXP           RAISE
45        ADVANCED_OPERATOR_EXP           RAISE
45        NUMBER                          2
45        NUMBER                          1
45        ADVANCED_OPERATOR_EXP           RAISE
45        NUMBER                          2
45        NUMBER                          1
45        END_OF_STATEMENT                EOS
46        ADVANCED_OPERATOR_EXP           RAISE
46        ADVANCED_OPERATOR_EXP           RAISE
46        NUMBER                          2
46        NUMBER                          1
46        ADVANCED_OPERATOR_EXP           RAISE
46        NUMBER                          2
46        ADVANCED_OPERATOR_EXP           RAISE
46        NUMBER                          2
46        NUMBER                          1
46        END_OF_STATEMENT                EOS
47        ADVANCED_OPERATOR_EXP           RAISE
47        ADVANCED_OPERATOR_EXP           RAISE
47        NUMBER                          2
47        ADVANCED_OPERATOR_EXP           RAISE
47        NUMBER                          2
47        NUMBER                          2
47        ADVANCED_OPERATOR_EXP           RAISE
47        NUMBER                          2
47        ADVANCED_OPERATOR_EXP           RAISE
47        NUMBER                          2
47        NUMBER                          1
47        END_OF_STATEMENT                EOS
48        ADVANCED_OPERATOR_EXP           RAISE
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        NUMBER                          1
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        ADVANCED_OPERATOR_EXP           RAISE
48        NUMBER                          2
48        NUMBER                          1
48        END_OF_STATEMENT                EOS
49        END_OF_STATEMENT                EOS
50        ADVANCED_OPERATOR_ROOT          ROOT
50        NUMBER                          2
50        ADVANCED_OPERATOR_ROOT          ROOT
50        NUMBER                          2
50        NUMBER                          4
50        END_OF_STATEMENT                EOS
51        ADVANCED_OPERATOR_ROOT          ROOT
51        NUMBER                          2
51        ADVANCED_OPERATOR_ROOT          ROOT
51        NUMBER                          2
51        ADVANCED_OPERATOR_ROOT          ROOT
51        NUMBER                          2
51        NUMBER                          4
51        END_OF_STATEMENT                EOS
52        ADVANCED_OPERATOR_ROOT          ROOT
52        NUMBER                          2
52        ADVANCED_OPERATOR_ROOT          ROOT
52        NUMBER                          2
52        ADVANCED_OPERATOR_ROOT          ROOT
52        NUMBER                          2
52        ADVANCED_OPERATOR_ROOT          ROOT
52        NUMBER                          2
52        NUMBER                          4
52        END_OF_STATEMENT                EOS
53        ADVANCED_OPERATOR_ROOT          ROOT
53        ADVANCED_OPERATOR_ROOT          ROOT
53        NUMBER                          2
53        NUMBER                          4
53        ADVANCED_OPERATOR_ROOT          ROOT
53        NUMBER                          2
53        NUMBER                          4
53        END_OF_STATEMENT                EOS
54        ADVANCED_OPERATOR_ROOT          ROOT
54        ADVANCED_OPERATOR_ROOT          ROOT
54        NUMBER                          2
54        NUMBER                          4
54        ADVANCED_OPERATOR_ROOT          ROOT
54        NUMBER                          2
54        ADVANCED_OPERATOR_ROOT          ROOT
54        NUMBER                          2
54        NUMBER                          4
54        END_OF_STATEMENT                EOS
55        ADVANCED_OPERATOR_ROOT          ROOT
55        ADVANCED_OPERATOR_ROOT          ROOT
55        NUMBER                          2
55        ADVANCED_OPERATOR_ROOT          ROOT
55        NUMBER                          2
55        NUMBER                          2
55        ADVANCED_OPERATOR_ROOT          ROOT
55        NUMBER                          2
55        ADVANCED_OPERATOR_ROOT          ROOT
55        NUMBER                          2
55        NUMBER                          4
55        END_OF_STATEMENT                EOS
56        ADVANCED_OPERATOR_ROOT          ROOT
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        NUMBER                          4
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        ADVANCED_OPERATOR_ROOT          ROOT
56        NUMBER                          2
56        NUMBER                          4
56        END_OF_STATEMENT                EOS
57        END_OF_STATEMENT                EOS
58        ADVANCED_OPERATOR_AVE           MEAN
58        NUMBER                          1
58        NUMBER                          2
58        BASIC_OPERATOR_ADD              ADD
58        NUMBER                          1
58        NUMBER                          2
58        END_OF_STATEMENT                EOS
59        ADVANCED_OPERATOR_AVE           MEAN
59        NUMBER                          1
59        NUMBER                          2
59        BASIC_OPERATOR_SUB              SUB
59        NUMBER                          4
59        NUMBER                          1
59        END_OF_STATEMENT                EOS
60        ADVANCED_OPERATOR_AVE           MEAN
60        NUMBER                          1
60        NUMBER                          2
60        BASIC_OPERATOR_MUL              MUL
60        NUMBER                          1
60        NUMBER                          3
60        END_OF_STATEMENT                EOS
61        ADVANCED_OPERATOR_AVE           MEAN
61        NUMBER                          1
61        NUMBER                          2
61        BASIC_OPERATOR_DIV              DIV
61        NUMBER                          6
61        NUMBER                          2
61        END_OF_STATEMENT                EOS
62        ADVANCED_OPERATOR_AVE           MEAN
62        NUMBER                          1
62        NUMBER                          2
62        BASIC_OPERATOR_MOD              MOD
62        NUMBER                          78
62        NUMBER                          5
62        END_OF_STATEMENT                EOS
63        ADVANCED_OPERATOR_AVE           MEAN
63        NUMBER                          1
63        NUMBER                          2
63        ADVANCED_OPERATOR_EXP           RAISE
63        NUMBER                          2
63        NUMBER                          4
63        END_OF_STATEMENT                EOS
64        ADVANCED_OPERATOR_AVE           MEAN
64        NUMBER                          1
64        NUMBER                          2
64        ADVANCED_OPERATOR_ROOT          ROOT
64        NUMBER                          2
64        NUMBER                          4
64        END_OF_STATEMENT                EOS
65        END_OF_STATEMENT                EOS
66        ADVANCED_OPERATOR_DIST          DIST
66        BASIC_OPERATOR_SUB              SUB
66        NUMBER                          10
66        NUMBER                          17
66        BASIC_OPERATOR_MUL              MUL
66        NUMBER                          -1
66        NUMBER                          4
66        DISTANCE_SEPARATOR              AND
66        BASIC_OPERATOR_ADD              ADD
66        NUMBER                          2
66        NUMBER                          15
66        BASIC_OPERATOR_DIV              DIV
66        NUMBER                          16
66        NUMBER                          2
66        END_OF_STATEMENT                EOS
67        ADVANCED_OPERATOR_DIST          DIST
67        BASIC_OPERATOR_SUB              SUB
67        NUMBER                          10
67        NUMBER                          17
67        ADVANCED_OPERATOR_AVE           MEAN
67        NUMBER                          1
67        NUMBER                          2
67        NUMBER                          -6
67        NUMBER                          -1
67        NUMBER                          -16
67        DISTANCE_SEPARATOR              AND
67        BASIC_OPERATOR_ADD              ADD
67        NUMBER                          2
67        NUMBER                          15
67        ADVANCED_OPERATOR_AVE           MEAN
67        NUMBER                          8
67        NUMBER                          8
67        NUMBER                          8
67        NUMBER                          8
67        END_OF_STATEMENT                EOS
68        PROGRAM_END                     END
69        END_OF_FILE                     EOF

======== INTERPOL INTERPRETER TERMINATED ========
